,timestamp,open,high,low,close,volume
0,09-10-2019,1381.0,1389.1,1360.15,1373.35,177260
1,10-10-2019,1357.5,1381.75,1351.0,1361.1,152606
2,11-10-2019,1355.0,1417.6,1350.8,1412.1,397760
3,14-10-2019,1410.0,1415.0,1390.0,1396.5,203559
4,15-10-2019,1394.0,1438.75,1392.0,1424.7,403985
5,16-10-2019,1433.0,1434.95,1401.55,1409.5,300018
6,17-10-2019,1413.0,1419.8,1395.7,1406.7,114889
7,18-10-2019,1415.5,1450.0,1397.7,1436.55,277477
8,22-10-2019,1436.55,1469.9,1416.0,1452.2,299087
9,23-10-2019,1451.0,1476.45,1427.5,1468.65,452349
10,24-10-2019,1490.0,1529.2,1425.65,1491.6,1055221
11,25-10-2019,1485.0,1519.5,1467.5,1505.15,382090
12,27-10-2019,1500.35,1528.85,1492.3,1506.1,29696
13,29-10-2019,1490.0,1526.85,1490.0,1517.35,268871
14,30-10-2019,1518.0,1586.95,1515.8,1578.15,537234
15,31-10-2019,1587.0,1590.9,1543.45,1548.7,717384
16,01-11-2019,1553.0,1561.15,1525.85,1558.75,367674
17,04-11-2019,1553.4,1595.5,1538.2,1586.75,336654
18,05-11-2019,1585.1,1586.7,1556.45,1559.35,109969
19,06-11-2019,1559.35,1576.5,1547.45,1566.4,91192
20,07-11-2019,1566.35,1579.45,1560.0,1574.0,101781
21,08-11-2019,1570.0,1588.0,1534.95,1540.4,123434
22,11-11-2019,1530.0,1594.75,1530.0,1572.65,231176
23,13-11-2019,1573.0,1578.2,1479.05,1483.2,349897
24,14-11-2019,1487.0,1509.8,1465.8,1504.7,296070
25,15-11-2019,1510.0,1520.0,1473.8,1491.1,161514
26,18-11-2019,1480.0,1527.5,1477.5,1519.1,198031
27,19-11-2019,1519.5,1535.95,1509.75,1529.0,116406
28,20-11-2019,1529.15,1554.3,1498.05,1508.8,279059
29,21-11-2019,1518.0,1525.0,1490.0,1498.7,82586
30,22-11-2019,1505.0,1509.9,1473.5,1484.15,137374
31,25-11-2019,1486.7,1507.15,1475.8,1500.05,103697
32,26-11-2019,1504.4,1504.4,1452.4,1484.9,380327
33,27-11-2019,1484.0,1506.9,1480.9,1493.9,77325
34,28-11-2019,1490.0,1512.4,1484.55,1504.9,166495
35,29-11-2019,1504.9,1516.5,1482.05,1490.95,66093
36,02-12-2019,1480.95,1495.0,1454.3,1462.1,124662
37,03-12-2019,1455.1,1470.45,1440.8,1446.4,109134
38,04-12-2019,1443.85,1472.45,1439.0,1467.45,144873
39,05-12-2019,1464.0,1515.65,1463.0,1485.2,367759
40,06-12-2019,1488.0,1494.95,1459.0,1464.15,76842
41,09-12-2019,1464.7,1482.0,1451.0,1475.95,106498
42,10-12-2019,1471.35,1475.35,1418.65,1437.75,245334
43,11-12-2019,1437.9,1497.0,1437.9,1486.55,381538
44,12-12-2019,1480.0,1492.85,1470.05,1484.25,93421
45,13-12-2019,1478.0,1495.0,1462.7,1490.6,167754
46,16-12-2019,1488.0,1512.35,1464.65,1473.4,261216
47,17-12-2019,1503.0,1643.3,1492.05,1604.95,4180592
48,18-12-2019,1604.45,1628.9,1580.0,1602.6,2154599
49,19-12-2019,1587.0,1606.2,1575.2,1580.35,534903
50,20-12-2019,1583.0,1602.0,1567.65,1582.8,548840
51,23-12-2019,1580.0,1604.95,1572.4,1578.55,440209
52,24-12-2019,1564.0,1626.4,1556.6,1597.85,2916222
53,26-12-2019,1615.0,1619.95,1601.0,1609.2,893767
54,27-12-2019,1612.0,1619.95,1579.4,1583.05,467070
55,30-12-2019,1581.0,1601.0,1581.0,1586.4,300609
56,31-12-2019,1584.0,1601.45,1578.55,1589.85,247638
57,01-01-2020,1589.85,1597.9,1573.2,1578.2,154125
58,02-01-2020,1581.75,1588.4,1573.05,1579.5,163571
59,03-01-2020,1582.0,1640.0,1582.0,1630.95,1181414
60,06-01-2020,1626.95,1661.0,1621.15,1647.75,983061
61,07-01-2020,1659.0,1666.0,1645.55,1655.75,486953
62,08-01-2020,1652.95,1777.0,1645.0,1726.55,1233375
63,09-01-2020,1740.0,1778.0,1726.9,1753.65,826968
64,10-01-2020,1747.85,1764.9,1711.05,1725.5,450735
65,13-01-2020,1724.9,1789.95,1712.1,1774.75,536820
66,14-01-2020,1774.5,1818.0,1765.4,1807.0,687344
67,15-01-2020,1805.0,1819.9,1775.0,1804.55,438185
68,16-01-2020,1804.0,1804.45,1765.8,1782.95,323490
69,17-01-2020,1782.0,1818.9,1777.8,1799.1,263017
70,20-01-2020,1803.0,1805.0,1773.95,1781.2,134513
71,21-01-2020,1787.4,1818.0,1775.15,1801.65,374093
72,22-01-2020,1803.3,1896.0,1801.75,1872.65,1210892
73,23-01-2020,1872.0,2059.5,1857.4,1979.05,1207141
