,timestamp,open,high,low,close,volume
99,28-02-2020,800.0,801.95,766.75,780.1,3514546
100,02-03-2020,820.0,871.95,811.0,844.3,8751507
101,03-03-2020,853.0,875.0,834.0,853.0,4629904
102,04-03-2020,852.0,856.2,806.2,830.95,2487490
103,05-03-2020,832.05,845.35,822.1,832.25,1905379
104,06-03-2020,808.7,828.4,798.7,813.1,1674717
105,09-03-2020,804.0,807.8,760.4,775.1,2425107
106,11-03-2020,774.0,790.8,745.1,748.3,2744883
107,12-03-2020,690.25,709.75,663.05,680.85,2768858
108,13-03-2020,616.0,740.0,590.05,700.45,2911895
109,16-03-2020,652.0,669.6,620.15,633.7,2010918
110,17-03-2020,641.3,686.6,628.85,648.9,3343272
111,18-03-2020,659.7,665.25,559.0,576.45,3487996
112,19-03-2020,539.9,602.85,526.05,573.6,3261146
113,20-03-2020,584.7,711.0,562.0,675.15,5000516
114,23-03-2020,607.65,646.7,542.65,550.75,2535401
115,24-03-2020,594.1,652.2,546.1,633.75,3546324
116,25-03-2020,577.0,660.0,577.0,646.9,2882806
117,26-03-2020,647.0,684.7,633.15,663.2,2590067
118,27-03-2020,670.0,729.5,643.75,654.8,3385412
119,30-03-2020,624.0,652.85,598.0,601.6,2084187
120,31-03-2020,615.0,677.9,601.0,662.6,3965382
121,01-04-2020,637.0,651.3,576.2,598.8,4836326
122,03-04-2020,594.0,604.4,558.85,592.4,3825228
123,07-04-2020,623.0,668.25,600.2,663.75,4083879
124,08-04-2020,653.7,702.2,636.35,642.35,4355051
125,09-04-2020,661.0,696.6,653.55,684.3,3501449
126,13-04-2020,684.3,698.9,660.05,689.8,2844324
127,15-04-2020,706.25,792.65,698.05,714.7,6783089
128,16-04-2020,710.0,728.6,696.1,714.3,3882012
129,17-04-2020,744.0,767.3,707.0,746.2,5154023
130,20-04-2020,749.45,760.65,725.55,746.1,2819316
131,21-04-2020,725.05,738.0,712.4,725.1,2270798
132,22-04-2020,722.0,754.75,715.3,749.75,2982166
133,23-04-2020,751.9,778.35,745.35,752.2,3161713
134,24-04-2020,744.0,758.7,712.2,717.0,2146278
135,27-04-2020,731.0,737.95,702.8,709.1,3188799
136,28-04-2020,713.8,718.0,677.5,709.15,5157760
137,29-04-2020,715.0,725.5,703.85,715.0,2961678
138,30-04-2020,728.8,738.75,708.5,713.35,3220473
139,04-05-2020,690.0,694.4,667.3,682.85,1879995
140,05-05-2020,701.9,713.4,680.4,692.35,2849922
141,06-05-2020,697.9,720.0,684.55,715.6,2879800
142,07-05-2020,720.0,753.7,715.6,750.15,5031786
143,08-05-2020,757.5,769.1,734.0,740.35,2489824
144,11-05-2020,747.35,776.8,742.15,755.15,3585712
145,12-05-2020,751.8,769.45,736.4,765.15,2596808
146,13-05-2020,785.0,823.35,762.1,812.25,6816347
147,14-05-2020,795.9,807.7,778.2,794.3,5873699
148,15-05-2020,810.0,835.65,798.5,823.55,7676115
149,18-05-2020,824.95,833.45,803.0,810.5,4822543
