,timestamp,open,high,low,close,volume
0,09-10-2019,17950.05,18300.0,17833.1,18239.35,111285
1,10-10-2019,18195.0,18195.0,17851.75,18052.5,82354
2,11-10-2019,18091.0,18349.0,17900.0,18201.15,94699
3,14-10-2019,18100.0,18450.0,18080.0,18327.95,77467
4,15-10-2019,18310.0,19300.0,18285.0,19199.1,230411
5,16-10-2019,19188.0,19300.0,18902.6,19220.6,108475
6,17-10-2019,19500.0,20789.0,19455.0,20491.85,398637
7,18-10-2019,20600.0,20680.0,20065.1,20275.9,295066
8,22-10-2019,20276.0,20513.25,19855.0,19978.85,161392
9,23-10-2019,19976.0,20740.9,19779.0,20521.2,185473
10,24-10-2019,20640.0,21188.55,20521.15,21032.35,224848
11,25-10-2019,21150.0,21415.0,20950.05,21321.75,150522
12,27-10-2019,21500.0,21688.6,21100.15,21323.65,24888
13,29-10-2019,21323.65,22150.0,21323.65,22049.4,191047
14,30-10-2019,22250.0,22599.0,21600.0,22511.5,202269
15,31-10-2019,22545.0,22680.2,22301.0,22538.1,137654
16,01-11-2019,22587.0,22888.0,21900.05,21976.15,187025
17,04-11-2019,22240.0,22280.0,21560.0,21740.7,157014
18,05-11-2019,21750.0,21947.3,21230.5,21287.15,149412
19,06-11-2019,21370.0,21750.0,21034.15,21605.55,144445
20,07-11-2019,21670.0,21700.0,21171.15,21423.95,105586
21,08-11-2019,21250.0,22055.7,21200.0,21689.65,187411
22,11-11-2019,21640.0,21817.65,21310.05,21376.9,94416
23,13-11-2019,21370.0,21824.0,21200.0,21352.2,158907
24,14-11-2019,21500.0,21725.0,21355.0,21558.15,98083
25,15-11-2019,21850.0,21900.0,21241.3,21324.05,119533
26,18-11-2019,21429.0,21580.0,21250.0,21477.4,69466
27,19-11-2019,21600.0,21799.95,21424.2,21747.35,90606
28,20-11-2019,21747.0,21747.0,21395.0,21489.8,73575
29,21-11-2019,21550.0,21998.0,21450.0,21954.6,130374
30,22-11-2019,21766.3,22965.0,21600.0,22753.2,251227
31,25-11-2019,22760.0,23416.0,22760.0,23261.3,197138
32,26-11-2019,23349.8,23450.0,22727.0,22805.7,199734
33,27-11-2019,22990.8,23400.0,22872.4,23021.65,134019
34,28-11-2019,23165.5,23165.5,22905.0,23091.6,94321
35,29-11-2019,23052.0,23079.95,22650.0,22881.4,111578
36,02-12-2019,22715.0,22750.0,21640.45,21713.1,239978
37,03-12-2019,21713.0,21991.95,21222.0,21372.75,205408
38,04-12-2019,21325.75,21768.95,21135.0,21408.0,159741
39,05-12-2019,21690.0,21690.0,21325.0,21417.05,91191
40,06-12-2019,21500.0,21634.65,20665.0,20920.0,143206
41,09-12-2019,21000.0,21199.0,20869.1,20997.15,98482
42,10-12-2019,21128.0,21365.5,20952.95,21259.2,97976
43,11-12-2019,21258.95,21624.45,21002.2,21541.8,107518
44,12-12-2019,21581.7,22101.0,21581.7,21953.55,125476
45,13-12-2019,22008.45,22459.0,21836.75,22034.75,140133
46,16-12-2019,22172.45,22172.45,21600.0,21651.0,89030
47,17-12-2019,21666.0,21927.9,21626.05,21704.95,116065
48,18-12-2019,21750.0,21972.45,21416.0,21735.85,101443
49,19-12-2019,21760.1,22505.95,21709.05,22427.15,180976
50,20-12-2019,22351.0,22599.0,22090.75,22221.15,132679
51,23-12-2019,22120.1,22440.0,22000.0,22176.15,93994
52,24-12-2019,22199.6,22430.0,21764.45,21868.65,116227
53,26-12-2019,21990.0,22200.0,21901.1,22045.7,96481
54,27-12-2019,22183.45,22320.2,21902.0,22222.35,79756
55,30-12-2019,22270.05,22876.6,22180.45,22784.5,115846
56,31-12-2019,22780.0,22780.0,22386.75,22515.25,114268
